#source_X source_Y lens_X lens_Y separation f1_ratio chi^2
896.000000 822.000000 890.000000 824.000000 65.000000000000000 0.850000000 2195.8877000000000
896.136414 822.069824 889.800232 823.987000 65.801567077636719 0.839929700 1820.0396861194681
896.114807 822.222229 889.988586 823.876160 63.074813842773438 0.830239058 1682.6606996299381
896.169617 822.208984 889.971802 823.715210 63.399452209472656 0.831645966 1615.1526397582411
896.267883 822.142822 890.037537 823.827454 64.153594970703125 0.834090889 1516.1054873567807
896.269043 822.267334 889.999695 823.776367 64.097129821777344 0.843512714 1310.8939916414254
896.252747 822.390625 889.854126 823.919495 65.392646789550781 0.832078636 1253.7288470179858
896.444641 822.547424 889.914856 824.119202 66.759941101074219 0.833996296 922.30165813416374
896.557983 822.589355 890.099487 824.229797 66.235923767089844 0.842088819 809.43740199801141
896.690430 822.535889 890.288269 824.405212 66.294677734375000 0.839461386 795.99236992149713
896.676208 822.539978 890.394165 824.430237 65.209083557128906 0.846858203 791.61853879170803
896.593018 822.636597 890.229736 824.413025 65.669517517089844 0.853941143 787.22114764734692
896.599731 822.564636 890.072998 824.383484 67.347770690917969 0.856379926 786.29301908289494
896.659424 822.605835 890.116272 824.451904 67.577972412109375 0.850187600 782.42792781830451
896.643494 822.610962 890.306396 824.314941 65.228172302246094 0.851481795 781.47316112927979
896.659180 822.639282 890.111389 824.399292 67.395248413085938 0.854018211 783.53354904165849
896.653992 822.606201 890.293823 824.382996 65.640693664550781 0.849750698 781.53961818403718
896.616699 822.595520 890.172607 824.313843 66.292381286621094 0.853795588 781.67990596451341
896.661804 822.636047 890.249451 824.177002 65.553390502929688 0.847730935 782.67193295697291
896.688232 822.654785 890.347534 824.236572 64.958106994628906 0.849680126 787.82289591231824
896.612793 822.657471 890.177063 824.415833 66.315856933593750 0.852651775 787.30801747073190
896.644531 822.617554 890.118225 824.241577 66.849815368652344 0.861823678 786.86490939336443
896.602966 822.586243 890.084656 824.337036 67.088478088378906 0.852329612 783.88604753848392
896.626770 822.607117 890.041931 824.312988 67.613998413085938 0.857320487 781.51168407962348
896.640442 822.629089 890.236450 824.262146 65.692779541015625 0.856753170 783.34914757995125
896.651001 822.578613 890.223999 824.424561 66.467224121093750 0.860232055 789.12698188094191
896.619202 822.567261 890.273315 824.538513 66.051361083984375 0.852763414 787.07888169584953
896.668457 822.586975 890.313660 824.426941 65.761131286621094 0.855935931 787.50188740606063
896.617920 822.576172 890.169067 824.528564 66.974899291992188 0.846917331 787.55985017779062
896.657532 822.579102 889.988159 824.354126 68.601295471191406 0.853434145 785.15345975946605
896.599731 822.610474 890.019653 824.282043 67.483428955078125 0.858161330 783.13702400776060
896.674438 822.598511 890.016235 824.239502 68.162979125976562 0.852913857 785.50607728826799
896.612122 822.651917 889.832397 824.324280 69.410430908203125 0.856683433 786.96766429118611
896.571228 822.610107 889.829041 824.332092 69.168632507324219 0.857078850 788.84064959610873
896.592651 822.639465 889.828674 824.210266 69.023117065429688 0.852757573 791.56229536448143
896.566284 822.610779 889.663818 824.299438 70.633895874023438 0.862650752 793.05767293763552
896.595642 822.666748 889.805176 824.241211 69.287834167480469 0.851031840 797.15670998933206
896.673828 822.580200 889.876221 824.155457 69.358764648437500 0.859330654 796.53550988810059
896.601196 822.626892 889.849426 824.134766 68.765892028808594 0.865845799 791.72397964992911
896.610046 822.618042 890.039307 824.048523 66.843002319335938 0.861879110 789.87451416083047
896.650391 822.624878 890.219421 823.934631 65.236106872558594 0.857226372 790.76091893429100
896.637939 822.635315 890.177368 824.103760 65.856010437011719 0.851535678 783.49710592012070
896.666870 822.558899 890.301758 824.278259 65.536834716796875 0.849171698 785.97805412420848
896.593933 822.649353 890.118835 824.244751 66.287338256835938 0.859787345 787.57391755754861
896.660400 822.623413 890.129639 824.100220 66.554817199707031 0.858543098 787.33205050740162
896.651917 822.609680 890.319031 823.968933 64.382514953613281 0.847323895 786.94105495822487
896.659058 822.654236 890.224609 824.038574 65.421897888183594 0.847427130 786.98771805037688
896.645569 822.608643 890.153870 824.015320 66.025016784667969 0.855742157 786.90620768117992
896.680908 822.573547 890.154724 824.186829 66.822937011718750 0.846312463 787.19955270932826
896.701843 822.567749 890.255371 824.180664 66.053146362304688 0.848600686 789.68079022434097
896.719666 822.665100 890.380493 824.231873 64.907424926757812 0.852890432 798.94992088371612
896.648132 822.596924 890.545532 824.390808 63.226329803466797 0.850759864 790.62936649795347
896.645569 822.585693 890.417114 824.249023 64.080482482910156 0.853132486 786.17396259052441
896.666260 822.601318 890.242676 824.344849 66.160636901855469 0.849968970 781.33391525257230
896.618103 822.623352 890.171143 824.254272 66.101516723632812 0.854609251 781.85708366915526
896.632751 822.606873 890.321411 824.075745 64.411346435546875 0.857070982 788.23023916849831
896.613403 822.584900 890.280396 824.212708 64.996307373046875 0.862984657 793.27901574379439
896.633301 822.596436 890.351685 824.152710 64.327003479003906 0.857566178 788.43368030819818
896.647827 822.576599 890.194763 824.240784 66.242134094238281 0.854148209 783.83984106111302
896.620544 822.616943 890.280579 824.329834 65.278755187988281 0.847563386 783.77452218338306
896.646973 822.635681 890.209839 824.165039 65.766174316406250 0.851984143 782.35426325788035
896.629089 822.601624 890.360107 824.158691 64.207008361816406 0.854285002 785.77188818138472
896.640015 822.622192 890.163452 824.304871 66.514320373535156 0.849204004 781.13772932943709
896.648804 822.625793 890.040527 824.488586 68.246124267578125 0.858563840 784.70169358670773
896.606567 822.627747 890.199280 824.303772 65.831314086914062 0.860114157 785.69863776015563
